id,label,segmentColors
353,Right-Internal-IliacV,#50C8FF
354,Left-ObturatorV,#50FFC8
355,Right-ObturatorV,#C3FFC8
356,Left-Internal-PudendalV,#78C814
357,Right-Internal-PudendalV,#AA0AC8
358,Pos-Lymph,#1482B4
359,Neg-Lymph,#14B482
370,ctx-rh-infragranular,#CD4682
371,ctx-rh-layer1,#D25082
372,ctx-rh-layer2,#D75A82
373,ctx-rh-layer3,#DC6482
374,ctx-rh-layer4,#E16E82
375,ctx-rh-layer5,#E67882
376,ctx-rh-layer6,#EB8782
377,ctx-rh-supragranular,#F08C82
400,V1,#CE3E4E
401,V2,#791286
402,BA44,#C73AFA
403,BA45,#019400
404,BA4a,#DDF8A4
405,BA4p,#E79422
406,BA6,#01760E
407,BA2,#78760E
408,BA1_old,#7BBADD
409,BAun2,#EE0DB1
410,BA1,#7BBADC
411,BA2b,#8A0DCE
412,BA3a,#EE82B0
413,BA3b,#DAE64C
414,MT,#26D5B0
415,AIPS_AIP_l,#01E1B0
416,AIPS_AIP_r,#01E1B0
417,AIPS_VIP_l,#C80264
418,AIPS_VIP_r,#C80264
419,IPL_PFcm_l,#05C85A
420,IPL_PFcm_r,#05C85A
421,IPL_PF_l,#6405C8
422,IPL_PFm_l,#19FF64
423,IPL_PFm_r,#19FF64
424,IPL_PFop_l,#E60764
425,IPL_PFop_r,#E60764
426,IPL_PF_r,#6405C8
427,IPL_PFt_l,#960AC8
428,IPL_PFt_r,#960AC8
429,IPL_PGa_l,#AF0AB0
430,IPL_PGa_r,#AF0AB0
431,IPL_PGp_l,#0A64FF
432,IPL_PGp_r,#0A64FF
433,Visual_V3d_l,#962D46
434,Visual_V3d_r,#962D46
435,Visual_V4_l,#2DC80F
436,Visual_V4_r,#2DC80F
437,Visual_V5_b,#E32D64
438,Visual_VP_l,#E32D64
439,Visual_VP_r,#E32D64
498,wmsa,#8FBC8F
499,other_wmsa,#FFF8DC
500,right_CA2_3,#115588
501,right_alveus,#77BB66
502,right_CA1,#CC4422
503,right_fimbria,#CC00FF
504,right_presubiculum,#DDBB11
505,right_hippocampal_fissure,#99DDEE
506,right_CA4_DG,#331111
507,right_subiculum,#007755
508,right_fornix,#1464C8
550,left_CA2_3,#115589
551,left_alveus,#77BB67
552,left_CA1,#CC4423
553,left_fimbria,#CC00FE
554,left_presubiculum,#DDBB10
555,left_hippocampal_fissure,#99DDEF
556,left_CA4_DG,#331112
557,left_subiculum,#007756
558,left_fornix,#1464C9
559,Subcortical-Gray-Matter,#7BBBDD
600,Tumor,#FEFEFE
601,Cbm_Left_I_IV,#0045BE
602,Cbm_Right_I_IV,#46AAB4
603,Cbm_Left_V,#CD3E4E
604,Cbm_Right_V,#CD664E
605,Cbm_Left_VI,#C43AFA
606,Cbm_Vermis_VI,#009400
607,Cbm_Right_VI,#C462FA
608,Cbm_Left_CrusI,#E69422
609,Cbm_Vermis_CrusI,#00760E
610,Cbm_Right_CrusI,#E6BC22
611,Cbm_Left_CrusII,#7AC878
612,Cbm_Vermis_CrusII,#EC0DB0
613,Cbm_Right_CrusII,#7AF078
614,Cbm_Left_VIIb,#0095D0
615,Cbm_Vermis_VIIb,#2ACCA4
616,Cbm_Right_VIIb,#00BDD0
617,Cbm_Left_VIIIa,#DCCD14
618,Cbm_Vermis_VIIIa,#67FFFF
619,Cbm_Right_VIIIa,#DCF514
620,Cbm_Left_VIIIb,#3C3AD2
621,Cbm_Vermis_VIIIb,#3C3AD2
622,Cbm_Right_VIIIb,#3C62D2
623,Cbm_Left_IX,#5A8723
624,Cbm_Vermis_IX,#E13CA0
625,Cbm_Right_IX,#9EE913
626,Cbm_Left_X,#A52A2A
627,Cbm_Vermis_X,#00FF7F
628,Cbm_Right_X,#A5522A
